lxc build-socat 20221007005727.801 TRACE    sync - sync.c:lxc_sync_init:139 - Initialized synchronization infrastructure
lxc build-socat 20221007005727.802 TRACE    start - start.c:lxc_spawn:1745 - Cloned child process 2702555
lxc build-socat 20221007005727.803 TRACE    start - start.c:core_scheduling:1563 - No new core scheduling domain requested
lxc build-socat 20221007005727.803 TRACE    utils - utils.c:lxc_can_use_pidfd:1819 - Kernel supports pidfds
lxc build-socat 20221007005727.803 INFO     start - start.c:lxc_spawn:1765 - Cloned CLONE_NEWNS
lxc build-socat 20221007005727.803 INFO     start - start.c:lxc_spawn:1765 - Cloned CLONE_NEWPID
lxc build-socat 20221007005727.803 INFO     start - start.c:lxc_spawn:1765 - Cloned CLONE_NEWUTS
lxc build-socat 20221007005727.803 INFO     start - start.c:lxc_spawn:1765 - Cloned CLONE_NEWIPC
lxc build-socat 20221007005727.803 INFO     start - start.c:lxc_spawn:1765 - Cloned CLONE_NEWCGROUP
lxc build-socat 20221007005727.803 DEBUG    start - start.c:lxc_try_preserve_namespace:139 - Preserved mnt namespace via fd 13 and stashed path as mnt:/proc/2702554/fd/13
lxc build-socat 20221007005727.803 DEBUG    start - start.c:lxc_try_preserve_namespace:139 - Preserved pid namespace via fd 14 and stashed path as pid:/proc/2702554/fd/14
lxc build-socat 20221007005727.803 DEBUG    start - start.c:lxc_try_preserve_namespace:139 - Preserved uts namespace via fd 15 and stashed path as uts:/proc/2702554/fd/15
lxc build-socat 20221007005727.803 DEBUG    start - start.c:lxc_try_preserve_namespace:139 - Preserved ipc namespace via fd 16 and stashed path as ipc:/proc/2702554/fd/16
lxc build-socat 20221007005727.803 DEBUG    start - start.c:lxc_try_preserve_namespace:139 - Preserved cgroup namespace via fd 17 and stashed path as cgroup:/proc/2702554/fd/17
lxc build-socat 20221007005727.803 TRACE    sync - sync.c:lxc_sync_barrier_child:97 - Parent waking child with sequence startup and waiting with sequence configure
lxc build-socat 20221007005727.803 TRACE    sync - sync.c:lxc_sync_wait_parent:110 - Child waiting for parent with sequence startup
lxc build-socat 20221007005727.803 TRACE    sync - sync.c:lxc_sync_wake_parent:104 - Child waking parent with sequence configure
lxc build-socat 20221007005727.803 TRACE    conf - conf.c:lxc_set_environment:5753 - Set environment variable: PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
lxc build-socat 20221007005727.804 DEBUG    start - start.c:lxc_try_preserve_namespace:139 - Preserved net namespace via fd 4 and stashed path as net:/proc/2702554/fd/4
lxc build-socat 20221007005727.804 TRACE    conf - conf.c:lxc_set_environment:5753 - Set environment variable: https_proxy=http://proxy.esl.cisco.com:8080/
lxc build-socat 20221007005727.804 TRACE    conf - conf.c:lxc_set_environment:5753 - Set environment variable: STACKER_LAYER_NAME=build-socat
lxc build-socat 20221007005727.804 TRACE    conf - conf.c:lxc_set_environment:5753 - Set environment variable: HTTPS_PROXY=http://proxy.esl.cisco.com:8080/
lxc build-socat 20221007005727.804 TRACE    conf - conf.c:lxc_set_environment:5753 - Set environment variable: HTTP_PROXY=http://proxy.esl.cisco.com:8080/
lxc build-socat 20221007005727.804 TRACE    conf - conf.c:lxc_set_environment:5753 - Set environment variable: no_proxy=.cisco.com,.insieme.local,localhost,127.0.0.1,172.0.0.0/8,192.168.49.2,aci-ubuntu-repo.insieme.local,10.81.73.67,172.31.132.64,10.195.219.181
lxc build-socat 20221007005727.804 WARN     start - start.c:lxc_spawn:1835 - Operation not permitted - Failed to allocate new network namespace id
lxc build-socat 20221007005727.804 TRACE    conf - conf.c:lxc_set_environment:5753 - Set environment variable: TERM=screen
lxc build-socat 20221007005727.804 TRACE    sync - sync.c:lxc_sync_wake_child:122 - Parent waking child with sequence post-configure
lxc build-socat 20221007005727.804 TRACE    conf - conf.c:lxc_set_environment:5753 - Set environment variable: NO_PROXY=.cisco.com,.insieme.local,localhost,127.0.0.1,172.0.0.0/8,192.168.49.2,aci-ubuntu-repo.insieme.local,10.81.73.67,172.31.132.64,10.195.219.181
lxc build-socat 20221007005727.804 TRACE    conf - conf.c:lxc_set_environment:5753 - Set environment variable: http_proxy=http://proxy.esl.cisco.com:8080/
lxc build-socat 20221007005727.804 TRACE    sync - sync.c:lxc_sync_wait_child:116 - Parent waiting for child with sequence idmapped-mounts
lxc build-socat 20221007005727.804 TRACE    sync - sync.c:lxc_sync_wait_parent:110 - Child waiting for parent with sequence post-configure
lxc build-socat 20221007005727.804 TRACE    conf - conf.c:turn_into_dependent_mounts:3923 - Turned all mount table entries into dependent mount
lxc build-socat 20221007005727.806 INFO     overlay - storage/overlay.c:ovl_mount:496 - Mounted "/local/rchincha/go/src/github.com/project-stacker/c3/images/s-a-k/.build/roots/build-socat/workaround0:/local/rchincha/go/src/github.com/project-stacker/c3/images/s-a-k/.build/roots/sha256_88ecf269dec31566a8e6b05147732fe34d32bc608de0d636dffaba659230a515/overlay" on "/local/rchincha/go/src/github.com/project-stacker/c3/images/s-a-k/.build/stacker/rootfsPivot" with options "upperdir=/local/rchincha/go/src/github.com/project-stacker/c3/images/s-a-k/.build/roots/build-socat/overlay,lowerdir=/local/rchincha/go/src/github.com/project-stacker/c3/images/s-a-k/.build/roots/build-socat/workaround0:/local/rchincha/go/src/github.com/project-stacker/c3/images/s-a-k/.build/roots/sha256_88ecf269dec31566a8e6b05147732fe34d32bc608de0d636dffaba659230a515/overlay,workdir=/local/rchincha/go/src/github.com/project-stacker/c3/images/s-a-k/.build/roots/build-socat/work"
lxc build-socat 20221007005727.806 DEBUG    conf - conf.c:lxc_mount_rootfs:1436 - Mounted rootfs "overlayfs:/local/rchincha/go/src/github.com/project-stacker/c3/images/s-a-k/.build/roots/build-socat/workaround0:/local/rchincha/go/src/github.com/project-stacker/c3/images/s-a-k/.build/roots/sha256_88ecf269dec31566a8e6b05147732fe34d32bc608de0d636dffaba659230a515/overlay:/local/rchincha/go/src/github.com/project-stacker/c3/images/s-a-k/.build/roots/build-socat/overlay" onto "/local/rchincha/go/src/github.com/project-stacker/c3/images/s-a-k/.build/stacker/rootfsPivot" with options "(null)"
lxc build-socat 20221007005727.806 ERROR    conf - conf.c:lxc_setup_rootfs_prepare_root:3964 - Failed to setup rootfs for
lxc build-socat 20221007005727.806 ERROR    conf - conf.c:lxc_setup:4331 - Failed to setup rootfs
lxc build-socat 20221007005727.806 ERROR    start - start.c:do_start:1275 - Failed to setup container "build-socat"
lxc build-socat 20221007005727.806 TRACE    sync - sync.c:lxc_sync_wake_parent:104 - Child waking parent with sequence error
lxc build-socat 20221007005727.806 ERROR    sync - sync.c:sync_wait:34 - An error occurred in another process (expected sequence number 3)
lxc build-socat 20221007005727.807 TRACE    start - start.c:lxc_serve_state_clients:486 - Set container state to ABORTING
lxc build-socat 20221007005727.807 TRACE    start - start.c:lxc_serve_state_clients:489 - No state clients registered
lxc build-socat 20221007005727.807 ERROR    start - start.c:__lxc_start:2074 - Failed to spawn container "build-socat"
lxc build-socat 20221007005727.807 TRACE    start - start.c:lxc_serve_state_clients:486 - Set container state to ABORTING
lxc build-socat 20221007005727.807 TRACE    start - start.c:lxc_serve_state_clients:489 - No state clients registered
lxc build-socat 20221007005727.807 WARN     start - start.c:lxc_abort:1039 - No such process - Failed to send SIGKILL via pidfd 12 for process 2702555
lxc build-socat 20221007005727.807 TRACE    start - start.c:lxc_serve_state_clients:486 - Set container state to STOPPING
lxc build-socat 20221007005727.807 TRACE    start - start.c:lxc_serve_state_clients:489 - No state clients registered
lxc build-socat 20221007005727.807 TRACE    start - start.c:lxc_end:966 - Closed command socket
lxc build-socat 20221007005727.807 TRACE    start - start.c:lxc_end:977 - Set container state to "STOPPED"
